@relation winequalityN-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.ClassAssigner-Cfirst-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C13-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C14-Llast-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P10.0-V

@attribute type {white,red}
@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric

@data
white,0.076923,-0.632184,0.090909,-0.458515,-0.460993,-0.783784,-0.289875,0.147022,-0.135593,0.090909,-0.354839
red,-0.153846,-0.08046,-0.363636,-0.80786,-0.163121,-0.90991,-0.944521,0.230672,-0.118644,-0.295455,-0.258065
white,0.153846,-0.701149,-0.090909,-0.912664,-0.673759,-0.387387,-0.423024,-0.544994,-0.491525,-0.136364,0.580645
white,-0.230769,-0.402299,0,-0.475983,-0.390071,-0.513514,-0.167822,0.063371,-0.288136,-0.568182,-0.483871
red,0.153846,-0.494253,0.113636,-0.720524,0.148936,-0.81982,-0.900139,-0.002535,-0.067797,-0.045455,0.322581
white,-0.102564,-0.632184,-0.318182,-0.834061,-0.531915,-0.459459,-0.456311,-0.494297,-0.440678,-0.227273,0.064516
red,-0.692308,-0.264368,0.136364,-0.676856,-0.475177,-0.495495,-0.589459,-0.608365,0.305085,0,0.806452
white,0.307692,-0.701149,-0.227273,-0.432314,-0.602837,-0.423423,-0.20111,0.152091,-0.355932,-0.477273,-0.451613
white,-0.102564,-0.586207,0.204545,0.056769,-0.460993,0.072072,-0.120666,0.430925,-0.423729,-0.477273,-0.645161
white,-0.051282,-0.218391,-0.545455,-0.930131,-0.276596,-0.747748,-0.101248,-0.076046,-0.423729,-0.590909,-0.548387
white,-0.051282,-0.54023,-0.068182,-0.938865,-0.503546,-0.81982,-0.334258,-0.262357,-0.050847,-0.477273,-0.258065
white,-0.384615,-0.643678,-0.227273,-0.886463,-0.617021,-0.945946,-0.384189,-0.593156,0.152542,-0.5,0.354839
red,-0.153846,-0.195402,-0.045455,-0.572052,-0.134752,-0.495495,-0.317614,0.291508,0.186441,0.136364,-0.193548
white,-0.153846,-0.632184,-0.068182,0.502183,-0.475177,-0.315315,-0.228849,0.608365,0.016949,-0.613636,-0.774194
white,-0.512821,-0.609195,-0.386364,-0.048035,-0.560284,-0.585586,-0.367545,-0.112801,0.033898,-0.795455,-0.096774
white,-0.102564,-0.586207,-0.25,-0.021834,-0.319149,-0.153153,-0.32871,0.244613,-0.355932,-0.25,-0.354839
white,-0.076923,-0.563218,0.090909,-0.956332,-0.460993,-0.711712,-0.300971,-0.456274,-0.20339,-0.386364,0.16129
white,0.102564,-0.425287,-0.5,-0.598253,-0.460993,-0.585586,-0.195562,0.034221,-0.152542,-0.431818,-0.258065
white,-0.410256,-0.83908,-0.090909,-0.947598,-0.702128,-0.675676,-0.567268,-0.727503,-0.20339,0.681818,0.612903
red,0.358974,-0.494253,-0.068182,-0.877729,-0.163121,-0.837838,-0.900139,0.029151,-0.067797,0.431818,0.193548
white,-0.307692,-0.448276,0.090909,-0.353712,-0.758865,-0.693694,-0.545076,-0.451204,-0.152542,0.295455,0.516129
white,-0.769231,0.356322,-0.795455,-0.965066,-0.843972,-0.927928,-0.983356,-0.986058,-0.016949,-0.727273,0.806452
white,-0.025641,-0.724138,-0.227273,-0.895197,-0.546099,-0.261261,-0.212205,-0.209125,0.067797,0,0
white,-0.410256,-0.402299,-0.522727,-0.615721,-0.531915,-0.711712,-0.295423,-0.160963,-0.491525,-0.295455,-0.548387
white,-0.25641,-0.425287,-0.045455,-0.49345,-0.304965,-0.531532,-0.195562,0.050697,-0.254237,-0.5,-0.483871
white,-0.307692,-0.494253,-0.363636,-0.052402,-0.546099,-0.495495,-0.428571,-0.103929,-0.559322,-0.818182,-0.064516
white,-0.461538,-0.54023,-0.681818,-0.30131,-0.673759,-0.477477,-0.245492,0.053232,-0.050847,-0.5,-0.516129
red,0.589744,0.103448,-0.454545,-0.860262,-0.007092,-0.675676,-0.711512,0.519645,-0.220339,-0.227273,-0.322581
white,-0.538462,-0.597701,0.295455,-0.117904,-0.333333,0.171171,-0.084605,-0.045627,-0.101695,-0.113636,-0.225806
white,-0.076923,-0.816092,0.113636,-0.947598,-0.347518,-0.693694,-0.20111,-0.418251,-0.135593,-0.431818,0.032258
white,-0.282051,-0.609195,-0.318182,0.20524,-0.390071,-0.297297,-0.018031,0.380228,-0.491525,-0.363636,-0.645161
white,-0.461538,0.057471,-1,-0.982533,-0.673759,-0.801802,-0.578363,-0.271229,-0.101695,-0.681818,-0.741935
red,-0.692308,-0.310345,-0.977273,-0.912664,-0.446809,-0.54955,-0.700416,-0.52725,0.661017,0.204545,0.935484
white,-0.384615,-0.149425,0.659091,-0.423581,0.276596,-0.171171,0.087379,0.103929,-0.169492,-0.522727,-0.612903
white,-0.692308,-0.632184,-0.227273,-0.956332,-0.64539,-0.135135,-0.156727,-0.920152,0.016949,-0.772727,0.645161
white,-0.384615,-0.54023,0.159091,-0.362445,-0.333333,-0.135135,0.10957,0.076046,-0.220339,-0.318182,-0.548387
white,-0.25641,-0.701149,-0.272727,-0.580786,-0.460993,-0.495495,-0.256588,-0,0.135593,-0.454545,-0.451613
white,-0.230769,-0.517241,-0.272727,-0.895197,-0.673759,-0.693694,-0.312067,-0.513308,-0.440678,-0.090909,0.032258
white,-0.179487,-0.54023,-0.113636,-0.292576,-0.404255,-0.441441,-0.25104,0.139417,0.118644,-0.295455,-0.193548
red,-0.051282,0.149425,-0.931818,-0.694323,0.007092,-0.531532,-0.778086,0.116603,-0.491525,-0.431818,-0.612903
white,-0.25641,-0.678161,-0.5,-0.947598,-0.588652,-0.927928,-0.345354,-0.509506,-0.355932,-0.659091,0.032258
white,0.128205,-0.655172,-0.090909,-0.947598,-0.744681,-0.369369,-0.361997,-0.380228,-0.322034,-0.636364,-0.129032
white,0.153846,-0.793103,-0.295455,-0.921397,-0.432624,-0.153153,-0.184466,-0.101394,-0.322034,-0.181818,-0.548387
white,-0.384615,-0.724138,-0.25,-0.580786,-0.730496,-0.63964,-0.617198,-0.618504,0.084746,-0.568182,0.774194
white,-0.384615,-0.494253,-0.272727,-0.938865,-0.361702,-0.531532,-0.018031,-0.296578,-0.016949,-0.522727,-0.322581
red,0.051282,0.057471,-0.227273,-0.834061,-0.049645,-0.873874,-0.938974,-0.335868,-0.186441,0.136364,0.645161
white,-0.435897,-0.586207,-0.045455,-0.598253,-0.744681,0.243243,-0.04577,-0.456274,0.152542,-0.590909,0.387097
white,-0.333333,-0.770115,-0.204545,-0.965066,-0.489362,-0.315315,-0.434119,-0.494297,0,-0.704545,-0.064516
white,-0.512821,-0.356322,-0.227273,-0.68559,-0.758865,-0.63964,-0.606103,-0.544994,0.169492,-0.477273,0.258065
red,0.358974,-0.494253,-0.227273,-0.877729,-0.219858,-0.801802,-0.894591,0.020279,-0.084746,0.409091,0.193548
white,-0.025641,-0.724138,-0.318182,0.187773,-0.333333,-0.063063,0.145631,0.506971,-0.288136,-0.454545,-0.709677
red,-0.025641,-0.218391,-0.818182,-0.816594,0.06383,-0.747748,-0.76699,0.228137,-0.169492,-0.159091,-0.354839
white,-0.487179,-0.678161,-0.340909,-0.973799,-0.64539,-0.405405,-0.539528,-0.714829,-0.288136,-0.681818,0
white,0.128205,-0.586207,0.113636,-0.598253,-0.560284,-0.675676,-0.478502,-0.114068,-0.322034,-0.727273,-0.322581
red,-0.051282,-0.471264,-0.068182,-0.842795,-0.205674,-0.405405,-0.700416,-0.010139,0.050847,0.431818,0.096774
white,-0.179487,-0.632184,0.068182,-0.938865,-0.51773,-0.693694,-0.306519,-0.410646,-0.20339,-0.477273,-0.032258
red,-0.461538,0.08046,-0.772727,-0.860262,-0.248227,-0.315315,-0.750347,0.015209,0.355932,-0.288028,0.032258
white,0.435897,-0.655172,0.272727,0.384279,-0.234043,-0.072072,0.531207,0.757921,-0.355932,-0.340909,-0.580645
white,-0.051282,-0.494253,-0.272727,-0.930131,-0.673759,-0.459459,-0.140083,-0.43853,-0.610169,-0.545455,-0.193548
white,-0.333333,-0.448276,-0.295455,-0.886463,-0.602837,-0.405405,-0.334258,-0.633714,-0.423729,-0.477273,0.225806
white,-0.333333,-0.655172,-0.204545,-0.152838,-0.531915,-0.045045,-0.256588,0.215463,-0.135593,-0.431818,-0.612903
white,-0.615385,-0.724138,-0.295455,-0.737991,-0.617021,-0.621622,-0.528433,-0.281369,0.169492,-0.363636,-0.419355
white,-0.74359,-0.885057,-0.272727,-0.947598,-0.531915,-0.297297,-0.489598,-0.659062,0.186441,-0.045455,0.225806
white,-0.076923,-0.563218,0.113636,-0.956332,-0.602837,-0.423423,-0.167822,-0.380228,-0.271186,-0.272727,0
red,0,-0.287356,-0.727273,-0.90393,0.248227,-0.675676,-0.883495,0.121673,-0.254237,-0.386364,-0.548387
red,-0.025641,0.057471,-0.954545,-0.90393,0.078014,-0.711712,-0.861304,0.112801,0.101695,-0.340909,-0.225806
red,0.153846,0.333333,-0.659091,-0.886463,-0.007092,-0.711712,-0.800277,0.278834,0,-0.272727,-0.483871
white,-0.384615,-0.701149,-0.363636,-0.554585,-0.730496,-0.207207,-0.361997,-0.420786,-0.169492,0.954545,0.33871
white,-0.153846,-0.655172,-0.363636,-0.886463,-0.475177,-0.423423,-0.461859,-0.637516,-0.322034,-0.795455,0.290323
red,0.384615,-0.195402,0.181818,-0.851528,0.049645,-0.765766,-0.905687,0.329531,0.067797,-0.113636,0.064516
white,-0.179487,-0.931034,-0.272727,-0.650655,-0.319149,0.045045,-0.234397,0.076046,0.40678,-0.5,-0.548387
white,-0.25641,-0.471264,-0.318182,-0.868996,-0.588652,-0.693694,-0.312067,-0.278834,0.084746,-0.068182,-0.16129
red,0.230769,0.08046,-0.795455,-0.764192,-0.163121,-0.873874,-0.938974,0.297845,-0.135593,-0.5,-0.354839
white,-0.282051,-0.356322,-0.363636,-0.519651,-0.716312,-0.801802,-0.517337,-0.565272,-0.20339,-0.886364,0.548387
white,-0.25641,-0.126437,-0.386364,-0.598253,-0.574468,-0.387387,-0.500693,-0.470215,-0.254237,-0.5,0.419355
white,-0.410256,-0.356322,-0.068182,0.637555,-0.134752,0.189189,0.115118,0.78327,0.135593,-0.295455,-0.645161
white,-0.128205,-0.425287,-0.363636,-0.930131,-0.64539,-0.54955,-0.428571,-0.321926,-0.050847,-0.204545,-0.16129
white,-0.461538,-0.678161,-0.590909,-0.49345,-0.546099,-0.513514,-0.367545,-0.12294,-0.067797,-0.363636,-0.387097
white,-0.333333,-0.586207,0.113636,-0.49345,-0.602837,-0.351351,-0.140083,0.050697,0.118644,-0.295455,-0.451613
white,-0.153846,0.034483,-0.454545,-0.982533,-0.716312,-0.495495,-0.556172,-0.253485,-0.254237,-0.772727,-0.645161
white,0.102564,-0.724138,0.113636,-0.344978,-0.404255,-0.099099,0.104022,0.050697,-0.355932,-0.318182,-0.032258
white,-0.410256,-0.356322,-0.409091,-0.340611,-0.631206,-0.765766,-0.545076,-0.594423,-0.423729,-0.886364,0.612903
white,-0.153846,-0.471264,0.136364,0.213974,-0.29078,-0.90991,-0.212205,0.418251,-0.627119,-0.5,-0.645161
white,-0.333333,-0.471264,-0.295455,0.074236,-0.489362,-0.027027,-0.140083,0.058302,-0.491525,-0.159091,-0.290323
white,-0.435897,-0.816092,-0.159091,-0.921397,-0.77305,-0.243243,-0.384189,-0.278834,0.254237,-0.340909,-0.451613
white,-0.512821,-0.632184,0.068182,-0.502183,-0.148936,-0.387387,-0.023578,-0.13815,-0.338983,-0.454545,-0.435484
red,-0.205128,0.206897,-0.727273,-0.117904,-0.092199,-0.297297,-0.572816,0.544994,0.237288,-0.318182,-0.548387
white,-0.205128,-0.172414,-0.386364,-0.615721,-0.588652,-0.423423,-0.112344,-0.476553,-0.186441,-0.545455,0.354839
white,-0.153846,-0.402299,-0.295455,-0.598253,-0.673759,-0.369369,-0.256588,-0.423321,0.067797,-0.431818,0.387097
white,-0.358974,-0.448276,-0.272727,-0.921397,-0.702128,-0.585586,-0.472954,-0.731305,-0.169492,-0.545455,0.612903
white,-0.307692,-0.517241,-0.318182,-0.253275,-0.404255,-0.567568,-0.112344,-0.204056,-0.118644,-0.227273,0.075269
red,-0.384615,0.264368,-0.295455,-0.90393,0.120567,-0.747748,-0.678225,0.240811,0.254237,0.295455,-0.580645
white,-0.230769,-0.195402,-0.318182,-0.746725,-0.659574,-0.531532,-0.284327,-0.557668,-0.525424,-0.659091,0.290323
red,-0.282051,0.011494,-0.909091,-0.860262,-0.148936,-0.873874,-0.950069,0.076046,0.152542,-0.068182,-0.548387
red,0.076923,-0.310345,-0.863636,-0.895197,-0.021277,-0.801802,-0.761442,0.158428,0.101695,-0.318182,-0.387097
red,0.25641,0.252874,-0.636364,-0.877729,0.304965,-0.783784,-0.761442,0.152091,-0.288136,-0.204545,-0.032258
white,-0.25641,-0.701149,-0.181818,-0.305677,-0.843972,-0.657658,-0.556172,-0.448669,-0.20339,-1,0.741935
white,0.230769,-0.333333,0.590909,0.008734,-0.574468,-0.63964,-0.156727,0.418251,-0.525424,0.159091,-0.580645
white,-0.307692,-0.448276,-0.727273,-0.048035,-0.659574,-0.387387,-0.117892,0.304183,-0.152542,-0.772727,-0.677419
white,-0.487179,-0.448276,-0.136364,-0.637555,-0.659574,-0.603604,-0.511789,-0.506971,0.186441,-0.545455,0.225806
white,-0.307692,-0.356322,-0.363636,-0.772926,-0.602837,-0.495495,-0.373093,-0.532319,-0.101695,-0.022727,0.419355
red,0.076923,0.678161,-0.431818,-0.755459,-0.049645,-0.405405,-0.56172,0.212928,-0.20339,-0.545455,-0.612903
white,-0.307692,-0.356322,-0.272727,-0.956332,-0.687943,-0.783784,-0.667129,-0.430925,-0.355932,-0.454545,-0.16129
white,-0.128205,-0.724138,-0.227273,-0.816594,-0.673759,-0.135135,-0.195562,-0.633714,-0.254237,-0.613636,0.516129
white,-0.358974,-0.609195,-0.386364,-0.475983,-0.361702,-0.297297,-0.156727,-0.154626,-0.186441,-0.409091,-0.258065
white,0.076923,-0.632184,-0.409091,-0.90393,-0.659574,-0.369369,-0.278779,-0.233207,0.220339,-0.340909,-0.225806
white,-0.230769,-0.83908,-0.25,-0.641921,-0.29078,-0.459459,-0.378641,0.076046,0.20339,-0.613636,-0.677419
white,-0.487179,0.149425,-1,-0.921397,-0.843972,-0.423423,-0.500693,-0.737643,-0.033898,-0.636364,0.419355
red,0.410256,-0.333333,0,-0.912664,-0.588652,-0.63964,-0.800277,0.032953,-0.118644,0.340909,-0.096774
white,0,-0.678161,-0.045455,-0.886463,-0.390071,-0.837838,-0.550624,-0.35488,-0.016949,-0.386364,0.225806
white,0.076923,-0.586207,-0.363636,-0.336245,-0.588652,0.279279,0.087379,0.08365,-0.322034,-0.227273,-0.354839
white,-0.205128,-0.770115,-0.25,-0.965066,-0.361702,-0.585586,-0.12344,-0.304183,0.186441,-0.340909,-0.193548
white,-0.666667,-0.287356,-0.522727,-0.90393,-0.744681,-0.747748,-0.633842,-0.709759,0.322034,-0.477273,0.451613
white,-0.179487,-0.908046,-0.340909,-0.152838,-0.574468,-0.279279,-0.489598,0.081115,-0.20339,-0.636364,-0.419355
red,0.25641,0.402299,-1,-0.772926,0.06383,-0.783784,-0.850208,0.532319,0.084746,-0.477273,-0.548387
white,-0.051282,-0.586207,-0.318182,-0.650655,-0.744681,-0.495495,-0.522885,-0.525982,-0.271186,-0.636364,0.290323
white,-0.435897,-0.724138,-0.272727,-0.790393,-0.687943,-0.54955,-0.378641,-0.463878,0.118644,0.045455,0.032258
red,0.051282,0.195402,-0.863636,-0.912664,-0.148936,-0.747748,-0.705964,0.17744,-0.016949,-0.454545,-0.548387
white,-0.025641,-0.54023,0.113636,0.707424,-0.276596,-0.477477,-0.228849,0.882129,-0.508475,-0.5,-0.83871
white,-0.179487,-0.793103,-0.25,-0.703057,-0.64539,-0.711712,-0.32871,-0.202788,-0.20339,-0.613636,-0.16129
white,-0.230769,-0.563218,-0.204545,-0.371179,-0.446809,0.351351,0.059639,0.114068,-0.118644,-0.522727,-0.516129
white,-0.179487,-0.126437,-0.545455,0.406114,-0.475177,-0.117117,-0.012483,0.504436,-0.389831,-0.227273,-0.548387
white,-0.230769,-0.931034,-0.386364,-0.30131,-0.503546,-0.207207,-0.456311,-0.058302,-0.186441,-0.659091,-0.387097
white,-0.435897,-0.402299,0.5,0.336245,-0.475177,-0.54955,-0.12344,0.367554,-0.288136,-0.363636,-0.741935
white,-0.564103,-0.448276,-0.704545,-0.938865,-0.602837,-0.207207,-0.167822,-0.400507,-0.084746,-0.636364,-0.129032
white,-0.025641,-0.494253,-0.090909,-0.860262,-0.361702,-0.495495,-0.062413,-0.069708,-0.20339,-0.295455,-0.419355
white,-0.128205,-0.655172,0.045455,-0.49345,-0.617021,-0.711712,-0.56172,-0.280101,-0.355932,0.272727,0.193548
red,0,0.195402,-0.863636,-0.877729,-0.007092,-0.675676,-0.805825,0.249683,0.135593,-0.090909,-0.322581
white,-0.282051,-0.425287,-0.090909,-0.820961,-0.546099,-0.387387,-0.556172,-0.740177,-0.338983,-0.613636,0.709677
white,-0.076923,-0.678161,-0.409091,-0.947598,-0.631206,-0.693694,-0.495146,-0.323194,-0.322034,-0.568182,-0.451613
red,0.25641,-0.241379,-0.068182,-0.510917,-0.021277,-0.567568,-0.800277,0.038023,-0.118644,0.25,0.483871
red,-0.25641,0.149425,-0.818182,-0.895197,0.248227,-0.747748,-0.672677,0.114068,-0.050847,-0.272727,-0.612903
white,0.205128,-0.586207,-0.522727,0.362445,-0.078014,-0.279279,0.059639,0.380228,-0.491525,-0.363636,-0.419355
white,0.102564,-0.471264,-0.181818,-0.336245,-0.730496,-0.495495,-0.245492,-0.316857,-0.508475,-0.727273,0.612903
white,-0.128205,-0.103448,0.477273,-0.327511,0.049645,-0.531532,-0.023578,0.17744,-0.525424,-0.704545,-0.612903
white,-0.358974,-0.724138,-0.590909,-0.126638,-0.489362,0.009009,-0.151179,0.210393,-0.372881,-0.272727,-0.612903
white,0.205128,-0.632184,-0.113636,-0.144105,-0.503546,-0.657658,-0.245492,0.304183,-0.186441,-0.295455,-0.354839
white,-0.307692,-0.793103,0.227273,-0.310044,0.035461,0.135135,-0.128988,0.114068,-0.711864,-0.613636,-0.741935
white,-0.179487,-0.54023,-0.272727,-0.90393,-0.588652,-0.531532,-0.323162,-0.158428,-0.186441,-0.090909,-0.290323
white,-0.179487,-0.632184,-0.318182,-0.68559,-0.560284,-0.279279,0.148405,-0.291508,-0.050847,-0.386364,0.225806
white,-0.435897,-0.287356,-0.613636,-0.004367,-0.475177,0.153153,0.331484,0.329531,-0.271186,-0.636364,-0.677419
white,-0.487179,-0.862069,-0.659091,-0.519651,-0.531915,-0.531532,-0.350902,-0.174905,-0.423729,-0.136364,-0.387097
red,-0.358974,0.563218,-1,-0.799127,-0.106383,-0.54955,-0.744799,-0.153359,0.338983,-0.136364,0.129032
white,-0.410256,-0.333333,-0.545455,-0.388646,-0.687943,-0.135135,-0.090153,0.073511,-0.152542,-0.409091,-0.516129
white,0.538462,-0.172414,-0.090909,-0.80786,-0.617021,-0.387387,-0.106796,0.076046,-0.576271,-0.613636,-0.612903
red,-0.025641,0.609195,-1,-0.90393,-0.049645,-0.423423,-0.783634,0.141952,0,-0.090909,-0.129032
white,-0.282051,-0.448276,-0.25,-0.834061,-0.390071,-0.297297,0.184466,-0.233207,-0.271186,-0.136364,-0.354839
white,-0.487179,0.091954,-0.409091,-0.659389,-0.375887,-0.711712,-0.334258,-0.08872,-0.118644,-0.454545,-0.645161
white,-0.128205,-0.678161,-0.363636,-0.423581,-0.276596,-0.279279,-0.300971,-0.190114,-0.389831,-0.159091,0.064516
white,-0.25641,-0.402299,-0.409091,-0.886463,-0.588652,0.027027,-0.267684,-0.722433,-0.525424,-0.431818,0.354839
white,-0.25641,-0.724138,-0.045455,0.170306,-0.588652,0.477477,-0.145631,0.468948,-0.254237,-0.363636,-0.548387
white,-0.051282,-0.402299,-0.454545,-0.716157,-0.687943,-0.927928,-0.84466,-0.509506,-0.508475,-0.681818,0.225806
white,0.307692,-0.448276,0.113636,-0.912664,-0.41844,-0.711712,-0.306519,0.076046,-0.305085,-0.727273,-0.548387
white,-0.205128,-0.264368,-0.613636,0.074236,-0.659574,0.045045,-0.001387,0.321926,-0.389831,-0.386364,-0.548387
white,-0.384615,-0.37931,-0.545455,0.528384,-0.148936,-0.423423,-0.156727,0.51711,-0.271186,-0.363636,-0.741935
white,-0.435897,-0.241379,-0.522727,-0.886463,-0.41844,-0.495495,-0.356449,-0.278834,0.186441,-0.318182,-0.193548
red,-0.153846,0.448276,-1,-0.886463,0.007092,-0.765766,-0.839112,0.278834,0.271186,-0.25,-0.548387
white,0.076923,-0.54023,-0.318182,-0.318777,-0.702128,-0.387387,-0.395284,-0.390368,-0.644068,-0.545455,0.387097
white,-0.333333,-0.83908,-0.090909,-0.921397,-0.531915,-0.603604,-0.550624,-0.669202,-0.338983,-0.454545,0.354839
white,-0.307692,-0.206897,-0.090909,0.091703,-0.588652,0.045045,0.303745,0.367554,-0.135593,-0.204545,-0.677419
red,0.282051,-0.126437,0.022727,-0.825328,-0.205674,-0.891892,-0.933426,-0.038023,0.016949,0.295455,0.935484
white,-0.025641,-0.448276,-0.181818,-0.912664,-0.560284,-0.441441,-0.17337,-0.253485,-0.135593,-0.318182,0.064516
white,0.076923,-0.494253,0.113636,-0.231441,-0.475177,-0.171171,0.009709,0.17744,-0.288136,-0.409091,-0.354839
white,0.025641,-0.770115,-0.295455,0.0131,-0.375887,-0.189189,-0.256588,0.380228,-0.423729,-0.295455,-0.709677
white,-0.25641,0.057471,-0.386364,-0.432314,-0.432624,-0.873874,-0.04577,0.002535,-0.254237,-0.636364,-0.548387
white,-0.487179,-0.54023,-0.386364,-0.825328,-0.361702,-0.477477,-0.167822,-0.456274,0.372881,-0.545455,0.419355
white,0.153846,-0.83908,-0.113636,-0.938865,-0.347518,-0.441441,-0.223301,-0.253485,-0.389831,-0.613636,-0.193548
red,0.384615,-0.471264,-0.181818,-0.860262,-0.007092,-0.81982,-0.861304,0.145754,0.033898,0.454545,0.290323
white,-0.435897,-0.563218,-0.295455,-0.615721,-0.51773,-0.045045,-0.090153,-0.329531,-0.050847,-0.318182,-0.032258
red,0.487179,0.057471,-0.045455,-0.842795,0.021277,-0.567568,-0.744799,0.253485,-0.186441,0.113636,0.096774
red,-0.025641,-0.471264,-0.227273,-0.834061,0.035461,-0.54955,-0.839112,-0.18251,-0.152542,-0.159091,0.451613
white,0.384615,-0.83908,0.545455,-0.912664,-0.475177,-0.621622,-0.312067,-0.025349,-0.491525,-0.477273,-0.225806
white,-0.205128,-0.471264,-0.227273,-0.912664,-0.673759,-0.603604,-0.323162,-0.418251,0.101695,-0.431818,0.193548
